Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2010-01-04,2.7683,2.7701,2.7333,2.7474
2010-01-05,2.7406,2.7584,2.7356,2.7539
2010-01-06,2.7581,2.7669,2.7537,2.7636
2010-01-07,2.7669,2.7821,2.7621,2.778
2010-01-08,2.7759,2.7777,2.7496,2.7551
2010-01-11,2.7522,2.7574,2.7342,2.7545
2010-01-12,2.7544,2.772,2.7528,2.7641
2010-01-13,2.7595,2.7653,2.7319,2.7417
2010-01-14,2.7346,2.748,2.7248,2.739
2010-01-15,2.7413,2.7485,2.7256,2.7468
2010-01-18,2.7359,2.7393,2.7217,2.7242
2010-01-19,2.7177,2.7345,2.713,2.7158
2010-01-20,2.722,2.7537,2.7171,2.748
2010-01-21,2.7424,2.7821,2.7391,2.7792
2010-01-22,2.7795,2.7938,2.7653,2.7668
2010-01-25,2.7763,2.7767,2.7542,2.7674
2010-01-26,2.7799,2.7907,2.7648,2.7648
2010-01-27,2.7705,2.7937,2.7681,2.781
2010-01-28,2.7666,2.7809,2.7561,2.7775
2010-01-29,2.7746,2.7803,2.7401,2.7408
2010-02-01,2.7454,2.7454,2.7006,2.704
2010-02-02,2.6996,2.713,2.6966,2.6984
2010-02-03,2.6889,2.7221,2.6818,2.7197
2010-02-04,2.7214,2.7844,2.7181,2.7783
2010-02-05,2.7697,2.8002,2.7577,2.7953
2010-02-08,2.7935,2.8071,2.7699,2.7921
2010-02-09,2.7807,2.7903,2.7587,2.7707
2010-02-10,2.7675,2.7797,2.7567,2.7667
2010-02-11,2.7575,2.7654,2.7328,2.7333
2010-02-12,2.7321,2.7558,2.7251,2.7405
2010-02-15,2.733,2.7513,2.7316,2.7505
2010-02-16,2.7416,2.7434,2.7084,2.7108
2010-02-17,2.711,2.7205,2.7022,2.7099
2010-02-18,2.7131,2.7426,2.7089,2.7228
2010-02-19,2.7372,2.7388,2.7138,2.7184
2010-02-22,2.705,2.7187,2.6954,2.7049
2010-02-23,2.6982,2.7331,2.6901,2.7322
2010-02-24,2.7328,2.7369,2.7171,2.7188
2010-02-25,2.7263,2.7406,2.7167,2.7211
2010-02-26,2.716,2.7236,2.689,2.6982
2010-03-01,2.6975,2.698,2.6795,2.6798
2010-03-02,2.6795,2.6901,2.6706,2.6727
2010-03-03,2.6738,2.6855,2.6601,2.6669
2010-03-04,2.6703,2.6746,2.6549,2.6614
2010-03-05,2.6619,2.6622,2.6445,2.6495
2010-03-08,2.6424,2.6506,2.6412,2.6418
2010-03-09,2.6436,2.6679,2.6411,2.6436
2010-03-10,2.6469,2.6586,2.6372,2.6558
2010-03-11,2.6555,2.6751,2.655,2.6698
2010-03-12,2.666,2.6733,2.6596,2.6668
2010-03-15,2.6698,2.685,2.6653,2.6801
2010-03-16,2.6799,2.6844,2.6656,2.6674
2010-03-17,2.6586,2.6704,2.6576,2.6664
2010-03-18,2.6714,2.6986,2.6703,2.6964
2010-03-19,2.6919,2.7155,2.6911,2.7069
2010-03-22,2.7119,2.7374,2.7084,2.7129
2010-03-23,2.7096,2.7287,2.7063,2.7242
2010-03-24,2.7279,2.729,2.7122,2.7205
2010-03-25,2.7239,2.7285,2.7115,2.7166
2010-03-26,2.7199,2.7411,2.7143,2.7335
2010-03-29,2.7229,2.7256,2.7094,2.7104
2010-03-30,2.7056,2.7103,2.699,2.704
2010-03-31,2.7019,2.7156,2.6962,2.7107
2010-04-01,2.7057,2.7155,2.664,2.6829
2010-04-02,2.6836,2.6918,2.6783,2.682
2010-04-05,2.6771,2.6815,2.6737,2.6797
2010-04-06,2.6811,2.6826,2.6708,2.6758
2010-04-07,2.6757,2.6841,2.6659,2.6696
2010-04-08,2.6744,2.6941,2.6743,2.6842
