Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2010-01-04,2.8704,2.8823,2.8231,2.8273
2010-01-05,2.8124,2.8458,2.8074,2.8426
2010-01-06,2.8582,2.8702,2.8395,2.8426
2010-01-07,2.851,2.8827,2.8428,2.8705
2010-01-08,2.8706,2.8794,2.8239,2.827
2010-01-11,2.8004,2.8067,2.7838,2.8
2010-01-12,2.8023,2.8269,2.7926,2.8111
2010-01-13,2.8067,2.8186,2.7723,2.7911
2010-01-14,2.7814,2.8082,2.7744,2.7908
2010-01-15,2.8049,2.8208,2.7926,2.8179
2010-01-18,2.8076,2.8118,2.7884,2.789
2010-01-19,2.784,2.829,2.7785,2.803
2010-01-20,2.8252,2.8803,2.819,2.8684
2010-01-21,2.862,2.9067,2.8597,2.8976
2010-01-22,2.8948,2.9114,2.8718,2.8761
2010-01-25,2.8868,2.8924,2.8576,2.8773
2010-01-26,2.9019,2.9166,2.885,2.8862
2010-01-27,2.8988,2.9286,2.8925,2.9148
2010-01-28,2.9058,2.9286,2.8911,2.9211
2010-01-29,2.9178,2.9274,2.8899,2.9069
2010-02-01,2.9115,2.9116,2.8587,2.8598
2010-02-02,2.8543,2.8685,2.8462,2.8468
2010-02-03,2.8389,2.8821,2.8256,2.8777
2010-02-04,2.8844,2.9713,2.8798,2.9594
2010-02-05,2.9713,3.0216,2.9518,3.0091
2010-02-08,3.0058,3.0174,2.9687,2.9867
2010-02-09,2.9726,2.9868,2.9277,2.9478
2010-02-10,2.9493,2.9767,2.929,2.9543
2010-02-11,2.9354,2.9681,2.9239,2.9304
2010-02-12,2.9255,2.9827,2.9224,2.9502
2010-02-15,2.9495,2.9668,2.944,2.9626
2010-02-16,2.9447,2.9472,2.887,2.8913
2010-02-17,2.894,2.9312,2.8798,2.9205
2010-02-18,2.9258,2.9642,2.9223,2.9382
2010-02-19,2.9789,2.9795,2.9324,2.9337
2010-02-22,2.9098,2.9283,2.8978,2.9126
2010-02-23,2.903,2.9625,2.8843,2.959
2010-02-24,2.9552,2.9646,2.9207,2.9387
2010-02-25,2.9616,2.9766,2.9452,2.9453
2010-02-26,2.9281,2.9392,2.8802,2.9008
2010-03-01,2.9033,2.9244,2.8803,2.8977
2010-03-02,2.9006,2.925,2.8748,2.8772
2010-03-03,2.8701,2.886,2.8371,2.8434
