Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2010-01-04,4.617,4.6333,4.5438,4.5587
2010-01-05,4.542,4.5608,4.5267,4.5453
2010-01-06,4.5665,4.5851,4.5453,4.5453
2010-01-07,4.5521,4.5862,4.5364,4.5745
2010-01-08,4.5739,4.6108,4.5208,4.5246
2010-01-11,4.5008,4.5261,4.4908,4.5125
2010-01-12,4.5162,4.5585,4.5061,4.545
2010-01-13,4.5504,4.5674,4.5141,4.5435
2010-01-14,4.53,4.5766,4.5186,4.5542
2010-01-15,4.5847,4.596,4.5516,4.5782
2010-01-18,4.5779,4.5907,4.5518,4.555
2010-01-19,4.5714,4.616,4.5616,4.5921
2010-01-20,4.6096,4.6882,4.5916,4.6679
2010-01-21,4.662,4.7012,4.6439,4.697
2010-01-22,4.6955,4.6992,4.6396,4.6396
2010-01-25,4.6561,4.6803,4.6181,4.6687
2010-01-26,4.7109,4.7342,4.66,4.6612
2010-01-27,4.6785,4.7429,4.676,4.7157
2010-01-28,4.708,4.7356,4.693,4.7137
2010-01-29,4.7114,4.719,4.6372,4.6525
2010-02-01,4.645,4.6452,4.5515,4.5604
2010-02-02,4.5538,4.5671,4.5418,4.5476
2010-02-03,4.5488,4.5871,4.5302,4.5794
2010-02-04,4.5806,4.6765,4.5761,4.6708
2010-02-05,4.6704,4.7154,4.6412,4.701
2010-02-08,4.6725,4.6942,4.6356,4.6726
2010-02-09,4.649,4.6573,4.6037,4.6276
2010-02-10,4.6249,4.6454,4.5895,4.6118
2010-02-11,4.5858,4.629,4.5686,4.5945
2010-02-12,4.5933,4.6501,4.5863,4.622
2010-02-15,4.6129,4.6436,4.6067,4.6385
2010-02-16,4.6249,4.6293,4.5531,4.5618
2010-02-17,4.5625,4.5983,4.5505,4.5841
2010-02-18,4.5845,4.6146,4.5696,4.5809
2010-02-19,4.5879,4.5896,4.5278,4.5308
2010-02-22,4.4974,4.5317,4.4844,4.5073
2010-02-23,4.505,4.5673,4.481,4.5649
2010-02-24,4.5668,4.5718,4.5149,4.5287
2010-02-25,4.5395,4.5478,4.4862,4.4877
2010-02-26,4.4683,4.4864,4.3883,4.4193
2010-03-01,4.389,4.389,4.3119,4.3476
2010-03-02,4.3125,4.3578,4.3002,4.3091
2010-03-03,4.3069,4.3356,4.2811,4.2997
2010-03-04,4.3037,4.3219,4.2965,4.3093
2010-03-05,4.3068,4.3098,4.2815,4.3038
