Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2010-01-04,4.1041,4.1156,4.0684,4.0751
2010-01-05,4.0706,4.0955,4.0648,4.0901
2010-01-06,4.0902,4.1015,4.0868,4.093
2010-01-07,4.0957,4.1267,4.0899,4.1095
2010-01-08,4.1079,4.1158,4.065,4.0688
2010-01-11,4.0574,4.0694,4.0403,4.0633
2010-01-12,4.0631,4.0893,4.0614,4.0776
2010-01-13,4.07,4.0808,4.0401,4.0492
2010-01-14,4.0439,4.0653,4.0327,4.0435
2010-01-15,4.0463,4.0548,4.0239,4.0516
2010-01-18,4.0386,4.0445,4.0125,4.0147
2010-01-19,4.0069,4.0364,4.0019,4.006
2010-01-20,4.0131,4.0562,4.0074,4.0468
2010-01-21,4.039,4.0903,4.0351,4.0875
2010-01-22,4.0875,4.1057,4.0671,4.0721
2010-01-25,4.0872,4.0888,4.0539,4.0703
2010-01-26,4.0889,4.105,4.0682,4.0685
2010-01-27,4.0771,4.109,4.0726,4.0915
2010-01-28,4.072,4.0871,4.0574,4.082
2010-01-29,4.0706,4.0796,4.0227,4.0357
2010-02-01,4.0421,4.0423,3.9759,3.9791
2010-02-02,3.977,3.9932,3.9732,3.9738
2010-02-03,3.9661,4.0085,3.953,4.0029
2010-02-04,4.0022,4.0794,3.9978,4.0701
2010-02-05,4.0759,4.109,4.0547,4.1007
2010-02-08,4.0962,4.1159,4.0662,4.0902
2010-02-09,4.0793,4.0914,4.0508,4.0631
2010-02-10,4.0607,4.0786,4.0439,4.0581
2010-02-11,4.0438,4.0561,4.0063,4.0066
2010-02-12,4.0026,4.0368,3.9911,4.0199
2010-02-15,4.0091,4.0321,4.0068,4.0307
2010-02-16,4.0201,4.0225,3.976,3.9776
2010-02-17,3.9796,3.9908,3.966,3.9762
2010-02-18,3.9764,4.016,3.9694,3.9921
2010-02-19,4.0125,4.0133,3.9771,3.9795
2010-02-22,3.9627,3.9808,3.9474,3.9595
2010-02-23,3.9556,4.0024,3.9469,4.0008
2010-02-24,4,4.0068,3.9763,3.9793
2010-02-25,3.9903,4.0088,3.9742,3.9834
2010-02-26,3.9752,3.9848,3.9357,3.9467
2010-03-01,3.9474,3.9479,3.921,3.9216
2010-03-02,3.9203,3.9355,3.9073,3.9114
2010-03-03,3.9113,3.9279,3.8917,3.8999
2010-03-04,3.9059,3.9133,3.8833,3.8926
2010-03-05,3.8938,3.8939,3.867,3.8751
2010-03-08,3.8653,3.8773,3.8635,3.8647
2010-03-09,3.8676,3.9013,3.8638,3.8662
2010-03-10,3.8692,3.8854,3.8552,3.8816
2010-03-11,3.8793,3.9101,3.8788,3.9025
2010-03-12,3.8964,3.9015,3.8806,3.8868
2010-03-15,3.8868,3.9026,3.8801,3.8928
2010-03-16,3.8886,3.8944,3.8693,3.874
2010-03-17,3.862,3.8722,3.8587,3.8599
2010-03-18,3.8625,3.8823,3.8622,3.8731
2010-03-19,3.8735,3.8951,3.8705,3.8874
2010-03-22,3.8921,3.9275,3.8861,3.8899
2010-03-23,3.8902,3.9067,3.8816,3.8849
2010-03-24,3.8881,3.891,3.8743,3.8853
2010-03-25,3.8851,3.8921,3.8718,3.8775
2010-03-26,3.8881,3.9123,3.8802,3.9024
2010-03-29,3.9005,3.9024,3.8777,3.8811
2010-03-30,3.8773,3.879,3.8657,3.8681
2010-03-31,3.8659,3.8708,3.8552,3.8555
2010-04-01,3.8522,3.8526,3.8348,3.8414
2010-04-02,3.8433,3.8551,3.8406,3.8428
2010-04-05,3.8338,3.8399,3.8308,3.837
2010-04-06,3.8385,3.8408,3.8255,3.831
2010-04-07,3.8308,3.8436,3.8215,3.8252
2010-04-08,3.8309,3.858,3.8308,3.8453
2010-04-09,3.8454,3.889,3.8327,3.8687
2010-04-12,3.8876,3.8881,3.858,3.8625
2010-04-13,3.8625,3.8846,3.8621,3.8722
2010-04-14,3.867,3.8735,3.8503,3.86
2010-04-15,3.8589,3.8703,3.8506,3.8563
2010-04-16,3.8607,3.8885,3.86,3.8839
2010-04-19,3.8907,3.9105,3.8823,3.8982
2010-04-20,3.8917,3.8948,3.8781,3.8789
2010-04-21,3.8786,3.8788,3.8591,3.8641
2010-04-22,3.8665,3.8894,3.8607,3.8822
2010-04-23,3.8847,3.8942,3.8764,3.8839
2010-04-26,3.876,3.8839,3.8662,3.8761
2010-04-27,3.8815,3.9396,3.8796,3.9215
2010-04-28,3.9322,3.9561,3.9085,3.9216
2010-04-29,3.9105,3.9298,3.9007,3.9063
2010-04-30,3.9021,3.9325,3.8952,3.9218
2010-05-03,3.9111,3.9358,3.9035,3.9278
2010-05-04,3.9124,4.0025,3.9111,3.9995
2010-05-05,4.0275,4.1048,4.0025,4.0678
2010-05-06,4.0789,4.1645,4.0609,4.1577
2010-05-07,4.1818,4.2249,4.0986,4.1387
2010-05-10,4.0385,4.041,3.9787,4.015
2010-05-11,4.0303,4.065,4.0053,4.007
2010-05-12,4.0319,4.0354,3.9596,3.9634
2010-05-13,3.9455,3.9672,3.9377,3.9413
2010-05-14,3.9493,4.0311,3.9447,4.0032
2010-05-17,4.0291,4.0433,3.999,4.029
2010-05-18,4.003,4.0333,3.9824,4.0256
2010-05-19,4.0551,4.1366,4.0291,4.1141
2010-05-20,4.105,4.2002,4.0988,4.1617
2010-05-21,4.1322,4.1644,4.0853,4.1256
2010-05-24,4.0885,4.1173,4.0763,4.0898
2010-05-25,4.1243,4.1735,4.1192,4.1591
2010-05-26,4.1189,4.1534,4.0884,4.1048
2010-05-27,4.1067,4.1122,4.0596,4.0677
2010-05-28,4.0563,4.093,4.0369,4.0826
2010-05-31,4.0776,4.0882,4.056,4.0704
2010-06-01,4.084,4.1263,4.0802,4.0995
2010-06-02,4.1113,4.1162,4.0846,4.0951
2010-06-03,4.0738,4.1297,4.0545,4.1115
2010-06-04,4.1038,4.2031,4.0866,4.1749
2010-06-07,4.1868,4.1949,4.134,4.1444
2010-06-08,4.1463,4.1617,4.1196,4.1365
2010-06-09,4.1204,4.1316,4.1089,4.1248
2010-06-10,4.1205,4.1418,4.0847,4.0935
2010-06-11,4.0847,4.1186,4.0791,4.1021
2010-06-14,4.0875,4.0986,4.0613,4.0692
2010-06-15,4.0649,4.0879,4.0537,4.0687
2010-06-16,4.0544,4.0959,4.0507,4.0632
2010-06-17,4.0767,4.0985,4.0646,4.0697
2010-06-18,4.0677,4.0816,4.0458,4.047
2010-06-21,4.0324,4.0472,4.0113,4.0426
2010-06-22,4.0506,4.0625,4.0356,4.0524
2010-06-23,4.0691,4.0851,4.0503,4.0689
2010-06-24,4.0619,4.1238,4.0531,4.1204
2010-06-25,4.1115,4.1436,4.1051,4.1127
2010-06-28,4.1056,4.1569,4.0984,4.1421
2010-06-29,4.1502,4.1753,4.1378,4.1386
2010-06-30,4.1408,4.1583,4.1192,4.13
2010-07-01,4.1536,4.1733,4.1389,4.1707
2010-07-02,4.1496,4.1564,4.1279,4.1497
2010-07-05,4.1299,4.1311,4.1086,4.1123
2010-07-06,4.1142,4.1167,4.0905,4.1033
2010-07-07,4.1111,4.1259,4.0916,4.0932
2010-07-08,4.0849,4.0911,4.0693,4.0799
2010-07-09,4.0751,4.0771,4.0636,4.0664
2010-07-12,4.0726,4.0856,4.057,4.0662
2010-07-13,4.0659,4.0805,4.0603,4.0655
2010-07-14,4.0616,4.0687,4.0445,4.0549
2010-07-15,4.0559,4.08,4.05,4.0684
2010-07-16,4.0748,4.1168,4.0668,4.1041
2010-07-19,4.1451,4.1515,4.1124,4.1264
2010-07-20,4.1174,4.1377,4.1078,4.1109
2010-07-21,4.0947,4.1151,4.0913,4.0967
2010-07-22,4.1084,4.1168,4.0826,4.086
2010-07-23,4.073,4.0913,4.0553,4.0619
2010-07-26,4.0528,4.055,4.0139,4.0238
2010-07-27,4.0196,4.0226,3.9949,4.0017
2010-07-28,4.0044,4.0173,3.9898,3.9973
2010-07-29,4.0036,4.0101,3.9869,4.0059
2010-07-30,4.0118,4.0228,3.9937,4.0022
2010-08-02,3.997,4,3.9755,3.9779
2010-08-03,3.9825,4.0086,3.9763,4.0003
2010-08-04,4.0067,4.0251,3.9801,3.9804
2010-08-05,3.9821,3.9938,3.9743,3.9849
2010-08-06,3.9875,3.9936,3.9744,3.9893
2010-08-09,3.9863,3.99,3.9614,3.9616
2010-08-10,3.9759,3.9861,3.9664,3.9861
2010-08-11,3.984,4.0175,3.9746,3.9999
2010-08-12,3.9972,4.0248,3.9959,3.9969
2010-08-13,3.9969,4.0161,3.9803,3.9904
2010-08-16,4.0051,4.0072,3.972,3.9745
2010-08-17,3.9748,3.9824,3.9396,3.9446
2010-08-18,3.9474,3.9565,3.9266,3.9297
2010-08-19,3.9348,3.9694,3.9219,3.961
2010-08-20,3.9617,3.9849,3.9496,3.9724
2010-08-23,3.9757,4.0137,3.9653,4.0049
2010-08-24,4.0128,4.024,3.9992,4.0061
2010-08-25,4.0115,4.0149,3.985,3.9987
2010-08-26,3.9888,3.9967,3.974,3.9809
2010-08-27,3.9906,3.9958,3.9597,3.9666
2010-08-30,3.9626,3.9902,3.9512,3.9895
2010-08-31,4.0048,4.0162,3.9896,3.9916
2010-09-01,3.9902,3.993,3.9637,3.9666
2010-09-02,3.9679,3.9754,3.9584,3.9618
2010-09-03,3.9586,3.9651,3.9307,3.933
2010-09-06,3.9363,3.9367,3.917,3.9231
2010-09-07,3.9334,3.9511,3.9306,3.9402
2010-09-08,3.949,3.958,3.9339,3.9371
2010-09-09,3.9425,3.9512,3.9293,3.9378
2010-09-10,3.9335,3.9413,3.9263,3.9387
2010-09-13,3.9289,3.9446,3.9213,3.9305
2010-09-14,3.9336,3.9524,3.9151,3.9227
2010-09-15,3.9171,3.946,3.9167,3.9381
2010-09-16,3.9377,3.9569,3.9287,3.9495
2010-09-17,3.9446,3.9643,3.9397,3.9551
2010-09-20,3.9515,3.9516,3.9339,3.936
2010-09-21,3.9382,3.9522,3.9338,3.9507
2010-09-22,3.937,3.954,3.9286,3.9467
2010-09-23,3.9455,3.9816,3.9444,3.9643
2010-09-24,3.9664,3.9847,3.9502,3.9504
2010-09-27,3.9522,3.9613,3.9442,3.9504
2010-09-28,3.9514,3.9793,3.951,3.9689
2010-09-29,3.964,3.9791,3.9585,3.973
2010-09-30,3.9817,3.9918,3.9665,3.9679
2010-10-01,3.9562,3.962,3.9332,3.9354
2010-10-04,3.9363,3.9655,3.9354,3.9641
2010-10-05,3.9604,3.9807,3.9455,3.9476
2010-10-06,3.9391,3.9665,3.9212,3.9591
2010-10-07,3.9617,3.9843,3.9499,3.9793
2010-10-08,3.9603,3.9879,3.9586,3.9609
2010-10-11,3.9649,3.978,3.9496,3.9517
2010-10-12,3.9643,3.9726,3.9547,3.9549
2010-10-13,3.9529,3.9614,3.8992,3.9023
2010-10-14,3.9016,3.9202,3.8881,3.9035
2010-10-15,3.8981,3.9172,3.8924,3.899
2010-10-18,3.9065,3.9311,3.9011,3.9212
2010-10-19,3.9274,3.9647,3.9197,3.9591
2010-10-20,3.9613,3.972,3.9499,3.9513
2010-10-21,3.9512,3.9726,3.9395,3.9681
2010-10-22,3.9714,3.9755,3.9541,3.9614
2010-10-25,3.9563,3.9595,3.9202,3.9292
2010-10-26,3.9275,3.9393,3.9237,3.9283
2010-10-27,3.9386,3.9699,3.9347,3.9641
2010-10-28,3.9563,3.9761,3.9499,3.9758
2010-10-29,3.9761,3.9977,3.958,3.9602
2010-11-01,3.9697,3.9731,3.9593,3.9641
2010-11-02,3.9621,3.9634,3.9406,3.9455
2010-11-03,3.9405,3.9453,3.9237,3.9258
2010-11-04,3.9073,3.9203,3.8894,3.9021
2010-11-05,3.9052,3.9283,3.8939,3.9175
2010-11-08,3.9169,3.9385,3.9064,3.931
2010-11-09,3.9336,3.9429,3.887,3.8914
2010-11-10,3.9006,3.9012,3.8743,3.8922
2010-11-11,3.8882,3.9371,3.879,3.9244
2010-11-12,3.9296,3.9576,3.9198,3.9421
2010-11-15,3.9363,3.9581,3.9202,3.9207
2010-11-16,3.9287,3.9678,3.9217,3.9635
2010-11-17,3.9607,3.9663,3.9455,3.9491
2010-11-18,3.9489,3.9531,3.926,3.938
2010-11-19,3.9298,3.9417,3.9249,3.9368
2010-11-22,3.9324,3.9539,3.9148,3.9526
2010-11-23,3.9539,3.9838,3.9403,3.9699
2010-11-24,3.9656,3.9794,3.9517,3.9539
2010-11-25,3.9617,3.9799,3.954,3.977
2010-11-26,3.9916,4.0474,3.9903,4.0303
2010-11-29,4.0232,4.1063,4.0145,4.1041
2010-11-30,4.0864,4.0952,4.0179,4.0205
2010-12-01,4.0197,4.0266,3.9976,4.0001
2010-12-02,3.9884,4.0272,3.9803,3.9877
2010-12-03,3.9859,4.0041,3.9774,3.9818
2010-12-06,3.9805,4.0267,3.9742,4.0051
2010-12-07,4.0037,4.026,4.0024,4.0197
2010-12-08,4.0374,4.0636,4.0301,4.0353
2010-12-09,4.0234,4.0383,4.019,4.0328
2010-12-10,4.0265,4.0421,4.0217,4.0296
2010-12-13,4.031,4.0352,3.9926,3.993
2010-12-14,3.9911,3.9972,3.9774,3.9865
2010-12-15,3.9782,3.9997,3.9709,3.9869
2010-12-16,3.9765,3.9951,3.9756,3.9784
2010-12-17,3.9782,3.9959,3.972,3.9836
2010-12-20,3.9766,4.0021,3.9758,3.9937
2010-12-21,3.9912,4.0011,3.98,3.9934
2010-12-22,3.9938,3.9963,3.9805,3.9835
2010-12-23,3.9833,3.9845,3.957,3.96
2010-12-24,3.9627,3.9697,3.9577,3.9635
2010-12-27,3.9607,3.9829,3.9594,3.9825
2010-12-28,3.974,3.9941,3.9734,3.9904
2010-12-29,3.9795,3.9898,3.9605,3.9633
2010-12-30,3.964,3.9723,3.9529,3.9643
2010-12-31,3.9579,3.9745,3.9444,3.9518
2011-01-03,3.9602,3.9625,3.9435,3.9456
2011-01-04,3.9356,3.9473,3.9184,3.9184
2011-01-05,3.9054,3.9095,3.8655,3.8738
2011-01-06,3.8601,3.8735,3.8462,3.8562
2011-01-07,3.8609,3.8861,3.8609,3.8789
2011-01-10,3.8848,3.912,3.8826,3.8962
2011-01-11,3.894,3.896,3.8476,3.8489
2011-01-12,3.8504,3.8609,3.8265,3.8392
2011-01-13,3.8369,3.8783,3.8369,3.867
2011-01-14,3.8739,3.8864,3.8627,3.8706
2011-01-17,3.8684,3.8759,3.8539,3.8671
2011-01-18,3.8598,3.8785,3.8548,3.8702
2011-01-19,3.8754,3.8904,3.8583,3.871
2011-01-20,3.8854,3.9155,3.883,3.8994
2011-01-21,3.8949,3.8992,3.866,3.8764
2011-01-24,3.8757,3.8895,3.863,3.8747
2011-01-25,3.8692,3.8779,3.8619,3.8756
2011-01-26,3.8754,3.8825,3.8685,3.8818
2011-01-27,3.8813,3.9094,3.8759,3.8995
2011-01-28,3.9024,3.9459,3.9019,3.9419
2011-01-31,3.9435,3.9505,3.9228,3.9287
2011-02-01,3.9212,3.9243,3.8963,3.8995
2011-02-02,3.8981,3.9164,3.8906,3.9082
2011-02-03,3.9092,3.9187,3.8921,3.9039
2011-02-04,3.8983,3.9114,3.8808,3.8891
2011-02-07,3.8753,3.8811,3.8447,3.8776
2011-02-08,3.8753,3.8876,3.8677,3.8872
2011-02-09,3.8853,3.9137,3.8834,3.9097
2011-02-10,3.9079,3.9359,3.9079,3.9183
2011-02-11,3.9326,3.9394,3.9063,3.9195
2011-02-14,3.9114,3.9538,3.9075,3.9436
2011-02-15,3.9467,3.9496,3.9152,3.9222
2011-02-16,3.9179,3.9208,3.9051,3.9144
2011-02-17,3.9047,3.9168,3.8951,3.9034
2011-02-18,3.9017,3.9229,3.8963,3.9116
2011-02-21,3.9147,3.947,3.9114,3.9433
2011-02-22,3.9492,3.9772,3.9433,3.9636
2011-02-23,3.9622,3.9829,3.9521,3.9826
2011-02-24,3.9818,4.0014,3.9778,3.9885
2011-02-25,3.9804,3.986,3.9681,3.9778
2011-02-28,3.9725,3.9753,3.9511,3.9578
2011-03-01,3.954,3.9807,3.9482,3.976
2011-03-02,3.9865,3.9893,3.9638,3.9718
2011-03-03,3.9699,3.9976,3.9649,3.9893
2011-03-04,3.9872,3.9992,3.9732,3.9778
2011-03-07,3.9795,3.9888,3.9697,3.9713
2011-03-08,3.9668,3.9867,3.9611,3.9714
2011-03-09,3.9707,3.9852,3.9673,3.9833
2011-03-10,3.9811,4.0204,3.979,4.0131
