Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2010-01-04,1.1259,1.129,1.1152,1.1165
2010-01-05,1.1167,1.1179,1.1092,1.1132
2010-01-06,1.113,1.1203,1.1095,1.1117
2010-01-07,1.1117,1.1137,1.1079,1.1134
2010-01-08,1.1134,1.1208,1.1101,1.1126
2010-01-11,1.1142,1.1146,1.1076,1.1102
2010-01-12,1.1104,1.1165,1.1076,1.1158
2010-01-13,1.1156,1.1244,1.1152,1.1218
2010-01-14,1.122,1.1279,1.1189,1.1268
2010-01-15,1.1268,1.1349,1.1261,1.1306
2010-01-18,1.1339,1.1386,1.1321,1.1363
2010-01-19,1.1362,1.1478,1.1349,1.1451
2010-01-20,1.1453,1.156,1.1448,1.1551
2010-01-21,1.1553,1.1554,1.1473,1.1498
2010-01-22,1.1498,1.151,1.1382,1.1398
2010-01-25,1.1382,1.1487,1.1369,1.1483
2010-01-26,1.1485,1.1537,1.1424,1.1473
2010-01-27,1.1471,1.155,1.1452,1.1527
2010-01-28,1.1527,1.1625,1.1524,1.155
2010-01-29,1.1548,1.1589,1.1506,1.1531
2010-02-01,1.1502,1.1516,1.1403,1.1457
2010-02-02,1.1459,1.148,1.1412,1.144
2010-02-03,1.1441,1.148,1.1404,1.1447
2010-02-04,1.1445,1.1495,1.1416,1.1485
2010-02-05,1.1483,1.151,1.1424,1.1436
2010-02-08,1.1421,1.1451,1.1365,1.1415
2010-02-09,1.1415,1.1422,1.1341,1.1389
2010-02-10,1.1387,1.1434,1.1339,1.1357
2010-02-11,1.1357,1.1494,1.1311,1.1464
2010-02-12,1.1466,1.155,1.1459,1.152
2010-02-15,1.1504,1.1534,1.149,1.1521
2010-02-16,1.1518,1.1523,1.1433,1.1471
2010-02-17,1.1469,1.1533,1.1442,1.1529
2010-02-18,1.153,1.1542,1.1462,1.1475
2010-02-19,1.1471,1.1485,1.1359,1.1366
2010-02-22,1.1354,1.1413,1.1343,1.1382
2010-02-23,1.1382,1.1427,1.1317,1.1422
2010-02-24,1.1423,1.1426,1.135,1.1382
2010-02-25,1.138,1.1399,1.1245,1.1269
2010-02-26,1.1268,1.1276,1.1145,1.1176
2010-03-01,1.1124,1.1152,1.093,1.1049
2010-03-02,1.1051,1.1087,1.0985,1.0995
2010-03-03,1.0993,1.105,1.0989,1.1024
2010-03-04,1.1025,1.109,1.1008,1.1065
2010-03-05,1.1067,1.1134,1.105,1.1113
2010-03-08,1.1104,1.1116,1.1022,1.1046
2010-03-09,1.1048,1.1054,1.0993,1.1026
2010-03-10,1.1027,1.1036,1.0949,1.0972
2010-03-11,1.0971,1.1032,1.0961,1.1015
2010-03-12,1.1017,1.1054,1.0975,1.1043
2010-03-15,1.1027,1.1054,1.0953,1.1003
2010-03-16,1.1003,1.108,1.0966,1.1068
2010-03-17,1.1066,1.1168,1.1027,1.1152
2010-03-18,1.1153,1.1216,1.1144,1.1208
2010-03-19,1.121,1.121,1.1087,1.1096
2010-03-22,1.1086,1.1148,1.1054,1.1137
2010-03-23,1.1135,1.1154,1.1089,1.1144
2010-03-24,1.1143,1.1223,1.1135,1.117
2010-03-25,1.1169,1.1248,1.112,1.116
2010-03-26,1.116,1.1164,1.108,1.1115
2010-03-29,1.1107,1.1147,1.1088,1.1116
2010-03-30,1.1114,1.1262,1.1109,1.1231
2010-03-31,1.123,1.1272,1.1181,1.1237
2010-04-01,1.1237,1.1309,1.1229,1.1259
2010-04-02,1.1259,1.1277,1.124,1.1262
2010-04-05,1.1314,1.1345,1.1285,1.1339
2010-04-06,1.1338,1.1408,1.1287,1.1397
2010-04-07,1.1397,1.1428,1.1338,1.1421
2010-04-08,1.142,1.1445,1.1383,1.1439
2010-04-09,1.1438,1.1485,1.1383,1.1386
2010-04-12,1.1334,1.1357,1.1299,1.1307
2010-04-13,1.1305,1.1357,1.1283,1.1295
2010-04-14,1.1295,1.1355,1.128,1.133
2010-04-15,1.1328,1.1427,1.1324,1.1392
2010-04-16,1.1394,1.1431,1.1363,1.1378
2010-04-19,1.1345,1.1378,1.1308,1.1368
2010-04-20,1.1366,1.1449,1.1358,1.1443
2010-04-21,1.1441,1.1516,1.143,1.151
2010-04-22,1.1508,1.1594,1.1498,1.1582
2010-04-23,1.158,1.1617,1.1469,1.1488
2010-04-26,1.1529,1.1627,1.1503,1.1539
2010-04-27,1.1541,1.159,1.1497,1.1584
2010-04-28,1.1583,1.1585,1.1481,1.1513
2010-04-29,1.1511,1.1586,1.145,1.1583
2010-04-30,1.1583,1.1596,1.146,1.1485
2010-05-03,1.1489,1.1573,1.1483,1.1552
2010-05-04,1.1554,1.1674,1.1532,1.1666
2010-05-05,1.1666,1.1808,1.1656,1.1784
2010-05-06,1.1782,1.1865,1.1638,1.1702
2010-05-07,1.1701,1.1844,1.1355,1.161
2010-05-10,1.1474,1.17,1.1427,1.1618
2010-05-11,1.1619,1.1836,1.1602,1.1815
2010-05-12,1.1815,1.1841,1.1704,1.1739
2010-05-13,1.1742,1.1766,1.1636,1.1656
2010-05-14,1.1655,1.1769,1.1601,1.1761
2010-05-17,1.1762,1.1763,1.1641,1.1683
2010-05-18,1.1685,1.1764,1.162,1.1731
2010-05-19,1.1732,1.1772,1.1622,1.1635
2010-05-20,1.1635,1.1678,1.1473,1.151
2010-05-21,1.1507,1.1561,1.1398,1.1501
2010-05-24,1.153,1.1679,1.1529,1.1666
2010-05-25,1.1667,1.1749,1.1644,1.1665
2010-05-26,1.1667,1.1828,1.1661,1.1821
2010-05-27,1.1821,1.1871,1.1751,1.1787
2010-05-28,1.1789,1.184,1.1699,1.1779
2010-05-31,1.1752,1.1845,1.173,1.181
2010-06-01,1.1813,1.2014,1.1799,1.199
2010-06-02,1.199,1.2076,1.1934,1.1964
2010-06-03,1.1964,1.2024,1.1932,1.202
2010-06-04,1.2022,1.2119,1.1997,1.208
2010-06-07,1.207,1.2178,1.2048,1.214
2010-06-08,1.214,1.2149,1.1995,1.2079
2010-06-09,1.2083,1.2133,1.2067,1.213
2010-06-10,1.2133,1.2163,1.2074,1.2137
2010-06-11,1.2138,1.2179,1.2008,1.2015
2010-06-14,1.2011,1.2071,1.1959,1.2064
