Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2010-01-04,335.5,342.48,334.65,341.13,24673,157256
2010-01-05,340.88,342.53,337.83,341.78,21346,158539
2010-01-06,341.63,351.73,340.9,348.83,30719,159959
2010-01-07,348.85,353.98,342.18,342.58,27648,161915
2010-01-08,343.08,344.3,338.88,342.65,32315,160142
2010-01-11,341.93,349.85,341.93,343.03,24973,157191
2010-01-12,343.45,345.83,330.55,331.73,37537,151321
2010-01-13,332,342.28,331.38,341.48,35847,147425
2010-01-14,341.4,343.98,337.93,340.05,31993,143074
2010-01-15,340.53,342.03,334.5,336.18,22922,142173
2010-01-18,336.5,342.85,335.43,341.08,31993,143074
2010-01-19,340.9,345.58,338.25,344.65,30945,143012
2010-01-20,344.7,346.3,333.48,335.13,30403,141781
2010-01-21,335.5,340.28,327.78,329.25,41726,141831
2010-01-22,329.07,336.88,326.35,333.93,43385,141486
2010-01-25,332.92,339.78,331.98,338.43,29694,141233
2010-01-26,338.3,339.25,330.23,333.5,32449,140683
2010-01-27,333.55,335.3,317.25,318.83,45675,137197
2010-01-28,319.4,323.88,308.83,311.42,51651,135526
2010-01-29,311.48,314.9,303.1,304.15,49335,137169
2010-02-01,303.68,310.5,298.8,310.5,37464,132478
2010-02-02,310.47,312,304.93,309.17,37305,132113
2010-02-03,308.5,313.95,295.05,298.18,66205,132170
2010-02-04,298,301.58,285.23,285.75,49757,130015
2010-02-05,285.95,289.38,280.97,288.45,60580,131187
2010-02-08,287.2,292.05,285.77,288.23,49703,126834
2010-02-09,287.98,299.95,287.45,299.33,62841,124076
2010-02-10,299.48,301,292.78,297.9,58994,123945
2010-02-11,298.15,314.35,297.63,313.05,66535,124137
2010-02-12,312.75,313.3,303.05,307.8,46496,123185
2010-02-15,309.13,311.08,305.97,310.15,66535,124137
2010-02-16,310,322.1,309.5,321.52,61923,126363
2010-02-17,320.2,326.28,319.53,322.98,50166,122790
2010-02-18,325.15,334.03,319.48,329.95,52075,125886
2010-02-19,329.95,338.03,322.65,336.23,54093,127294
2010-02-22,337.15,338.38,330.4,332.5,45707,124202
2010-02-23,331.65,336.03,320.83,323.15,53040,126394
2010-02-24,323.5,326.5,318.78,324.9,51283,124981
2010-02-25,324.47,328.27,316.35,322.63,54214,124233
2010-02-26,322.2,328.98,319.95,328.55,37815,124234
2010-03-01,343.35,347.8,331.98,334.45,52449,125413
2010-03-02,334.2,341.08,329.18,340.03,35751,125878
2010-03-03,340.2,346.78,334.73,342.45,46385,127443
2010-03-04,341.95,343.03,334.53,337.2,38473,128931
2010-03-05,337.23,345.38,336.13,341.8,33362,129569
2010-03-08,341.68,346.03,338.28,340.9,31530,128992
2010-03-09,341.73,341.93,335.18,339.4,32177,127613
2010-03-10,339.75,344.08,334.73,337.38,39052,128203
2010-03-11,337.35,339.18,333.48,338.95,33468,129116
2010-03-12,338.65,340.25,335.5,338.55,24942,130100
2010-03-15,337.83,338.63,328.95,331.9,27566,128416
2010-03-16,331.48,337.98,330.58,337.35,30998,130126
2010-03-17,337.7,342.23,336.83,342.13,26044,129002
2010-03-18,342.03,342.03,337.28,340.13,23558,130231
2010-03-19,339.4,342.03,335.28,337.7,27346,129869
2010-03-22,335.03,338.43,330.68,338.23,35071,130813
2010-03-23,338.88,340.4,335.45,337.18,24239,132494
2010-03-24,337.2,338.23,331.88,332.35,28980,134820
2010-03-25,332.5,338.2,332.18,334.55,30455,135277
2010-03-26,334.03,342.83,333.48,341.38,33298,135874
2010-03-29,341.53,354.48,341.33,354.48,40474,140537
