Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2010-01-04,3.0851,3.0946,3.0437,3.0516
2010-01-05,3.0663,3.11,3.0583,3.1063
2010-01-06,3.1034,3.1157,3.0673,3.0721
2010-01-07,3.0745,3.0943,3.0652,3.0809
2010-01-08,3.0734,3.0927,3.051,3.0532
2010-01-11,3.0334,3.048,3.0141,3.0431
2010-01-12,3.0397,3.0982,3.0387,3.0956
2010-01-13,3.0792,3.0908,3.0388,3.0564
2010-01-14,3.0361,3.0784,3.0214,3.0645
2010-01-15,3.0813,3.108,3.0726,3.1034
2010-01-18,3.0883,3.0927,3.0714,3.0746
2010-01-19,3.0762,3.1116,3.0683,3.0782
2010-01-20,3.0998,3.156,3.0993,3.1455
2010-01-21,3.1289,3.2144,3.1191,3.205
2010-01-22,3.2097,3.2341,3.174,3.1967
2010-01-25,3.1976,3.211,3.167,3.1881
2010-01-26,3.2236,3.2555,3.2117,3.2198
2010-01-27,3.249,3.2775,3.2289,3.2597
2010-01-28,3.219,3.2676,3.1972,3.2554
2010-01-29,3.2438,3.2465,3.1852,3.2131
2010-02-01,3.2282,3.2293,3.1446,3.1527
2010-02-02,3.1459,3.1723,3.1411,3.1495
2010-02-03,3.1393,3.166,3.1293,3.1585
2010-02-04,3.17,3.3552,3.1648,3.3218
2010-02-05,3.314,3.3875,3.2954,3.37
2010-02-08,3.3682,3.3831,3.3167,3.3442
2010-02-09,3.3199,3.3428,3.2639,3.2929
2010-02-10,3.2865,3.316,3.2675,3.284
2010-02-11,3.2623,3.3043,3.2536,3.2643
2010-02-12,3.26,3.3178,3.2483,3.2809
2010-02-15,3.2725,3.2961,3.2654,3.2932
2010-02-16,3.2784,3.2816,3.1955,3.2047
2010-02-17,3.2038,3.2311,3.1792,3.2161
2010-02-18,3.2166,3.2703,3.2056,3.2203
2010-02-19,3.2418,3.2425,3.1911,3.193
2010-02-22,3.177,3.2104,3.1632,3.1954
2010-02-23,3.1905,3.2837,3.1713,3.2798
